date, pm25
2024/6/1, 63
2024/6/2, 59
2024/6/3, 58
2024/6/4, 70
2024/6/5, 87
2024/6/6, 80
2024/6/7, 56
2024/6/8, 65
2024/6/9, 67
2024/6/10, 61
2024/6/11, 62
2024/6/12, 71
2024/6/13, 96
2024/5/1, 80
2024/5/2, 68
2024/5/3, 62
2024/5/4, 59
2024/5/5, 62
2024/5/6, 64
2024/5/7, 71
2024/5/8, 79
2024/5/9, 76
2024/5/10, 82
2024/5/11, 98
2024/5/13, 88
2024/5/14, 114
2024/5/15, 79
2024/5/16, 81
2024/5/17, 76
2024/5/18, 81
2024/5/19, 86
2024/5/20, 103
2024/5/21, 99
2024/5/22, 64
2024/5/23, 71
2024/5/24, 73
2024/5/25, 69
2024/5/26, 75
2024/5/27, 91
2024/5/28, 87
2024/5/29, 68
2024/5/30, 62
2024/5/31, 78
2024/4/1, 16
2024/4/2, 14
2024/4/3, 14
2024/4/4, 50
2024/4/5, 78
2024/4/6, 65
2024/4/7, 78
2024/4/8, 72
2024/4/9, 67
2024/4/10, 98
2024/4/11, 114
2024/4/12, 83
2024/4/13, 73
2024/4/14, 63
2024/4/15, 76
2024/4/16, 109
2024/4/17, 118
2024/4/18, 108
2024/4/19, 97
2024/4/20, 117
2024/4/21, 96
2024/4/22, 87
2024/4/23, 81
2024/4/24, 88
2024/4/25, 69
2024/4/26, 72
2024/4/27, 70
2024/4/28, 78
2024/4/29, 66
2024/4/30, 91
2024/1/1, 165
2024/1/2, 163
2024/1/3, 168
2024/1/4, 167
2024/1/5, 174
2024/1/6, 172
2024/1/7, 174
2024/1/8, 170
2024/1/9, 183
2024/1/10, 170
2024/1/11, 131
2024/1/12, 182
2024/1/13, 179
2024/1/16, 258
2024/1/17, 209
2024/1/18, 199
2024/1/19, 218
2024/1/20, 169
2024/1/21, 167
2024/1/22, 158
2024/1/23, 221
2024/1/24, 188
2024/1/25, 233
2024/1/26, 190
2024/1/27, 204
2024/1/28, 230
2024/1/29, 208
2024/1/30, 192
2024/1/31, 170
2024/2/1, 213
2024/2/2, 270
2024/2/3, 249
2024/2/4, 181
2024/2/5, 172
2024/2/6, 200
2024/2/7, 222
2024/2/8, 277
2024/2/9, 210
2024/2/10, 212
2024/2/11, 176
2024/2/12, 169
2024/2/13, 126
2024/2/14, 123
2024/2/15, 135
2024/2/16, 143
2024/2/17, 165
2024/2/20, 157
2024/2/21, 142
2024/2/22, 124
2024/2/23, 105
2024/2/24, 117
2024/2/25, 103
2024/2/26, 109
2024/2/27, 131
2024/2/28, 127
2024/2/29, 109
2024/3/1, 101
2024/3/2, 108
2024/3/3, 92
2024/3/4, 96
2024/3/5, 97
2024/3/6, 90
2024/3/7, 86
2024/3/8, 82
2024/3/9, 83
2024/3/10, 79
2024/3/11, 76
2024/3/12, 74
2024/3/13, 73
2024/3/14, 72
2024/3/15, 66
2024/3/16, 69
2024/3/17, 68
2024/3/18, 76
2024/3/19, 75
2024/3/20, 74
2024/3/21, 57
2024/3/22, 42
2024/3/23, 35
2024/3/24, 32
2024/3/25, 38
2024/3/26, 24
